Freq.	V(p)/v(of)
1.00000000000000e+08	(1.29902475906458e+02dB,-1.40301416331681e+02°)
1.25892541179417e+08	(1.36492539626355e+02dB,-1.27288469694958e+02°)
1.58489319246112e+08	(1.43024373650273e+02dB,-1.17133253571906e+02°)
1.99526231496889e+08	(1.49281856095937e+02dB,-1.09930443228800e+02°)
2.51188643150959e+08	(1.55045805779257e+02dB,-1.04413152438807e+02°)
3.16227766016839e+08	(1.60282554470793e+02dB,-9.84604548985042e+01°)
3.98107170553499e+08	(1.65150618671391e+02dB,-9.07071831553340e+01°)
5.01187233627275e+08	(1.69807667284882e+02dB,-8.11220612891990e+01°)
6.30957344480196e+08	(1.74306059099950e+02dB,-7.03272767530922e+01°)
7.94328234724285e+08	(1.78622406704990e+02dB,-5.89428794510246e+01°)
1.00000000000000e+09	(1.82716037243213e+02dB,-4.73165706870820e+01°)
